datetime,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-03-31 06:00:00+00:00,2448,0.3176394341539312,0.5200841239475429,0.2377013503923543,0.4085139709720999,58949.2451060185,59898.37804111,59898.37804111,58946.997844815196,54978672610.0,1118267857171.0
2021-03-31 07:00:00+00:00,2419,0.28983834256360697,0.537548753310937,0.2052603717809166,0.4135467340927277,59890.8475173042,58514.5900865,59890.8475173042,58416.8754717128,55451062034.0,1092433341423.0
2021-03-31 08:00:00+00:00,2579,0.25956826656084203,0.5420855722105551,0.17036583070282782,0.3880803203079733,58528.815072125704,58199.03953879,58528.815072125704,57726.41877444,57863822983.0,1086545862888.0
2021-03-31 09:00:00+00:00,2154,0.2755002654347756,0.5443266021422135,0.19732016425451285,0.4144904572227069,58240.1586118301,58195.94778126,58414.8186055072,58153.35263837,56965956576.0,1086488141379.0
2021-03-31 10:00:00+00:00,2244,0.2915009310133689,0.5608866307603584,0.2043878635832812,0.4210254400566186,58276.39731425,57918.58625115,58340.15478425,57778.2709841229,54962829649.0,1081314289457.0
2021-03-31 11:00:00+00:00,4294,0.3848267752600723,0.6690944479485311,0.3332388395257912,0.595369636448235,57977.55498008,58276.76767329,58317.25800919,57977.55498008,55332876261.0,1088001377576.0
2021-03-31 12:00:00+00:00,4540,0.3727406613709289,0.6522128182693139,0.3056453334820093,0.5585374121422473,58277.9246178872,58373.60450943,58486.1593927341,58081.4501150805,54679726452.0,1089809278311.0
2021-03-31 13:00:00+00:00,4818,0.3772223469103868,0.6600357592477566,0.31735179863128976,0.5769925861229133,58409.451751497596,58815.12673031,58960.937268533205,58354.3259986434,55398206322.0,1098052302139.0
2021-03-31 14:00:00+00:00,4985,0.3849276531469223,0.668115947619598,0.3282265020537667,0.5877959976325425,58819.288792684805,58903.23227251,58949.3695758545,58730.4225598712,55382367179.0,1099703790655.0
2021-03-31 15:00:00+00:00,5346,0.4108214782184155,0.7184273204210628,0.3476112177573386,0.6289204167542521,58918.789503630804,59513.62193546,59513.6219354637,58918.789503630804,56430855042.0,1111099563013.0
2021-03-31 16:00:00+00:00,5241,0.4164304067419516,0.7401415278068135,0.3416559798610341,0.6282256220637173,59583.081566334,59186.00379345,59603.3615558588,59160.3811508663,57373500630.0,1104990853623.0
2021-03-31 17:00:00+00:00,5095,0.4382907441955145,0.7809108731082366,0.36347318475842455,0.6694570993069905,59230.4313811175,59426.69891675,59426.698916750705,59205.5392217045,58410300159.0,1109484583436.0
2021-03-31 18:00:00+00:00,4982,0.4170601241645661,0.7505921665704509,0.3479602404818837,0.6501470973126162,59504.0446761508,59526.41314251,59647.120208409695,59437.95332824,60127221575.0,1111346228088.0
2021-03-31 19:00:00+00:00,4827,0.4188352097613967,0.7414071522575135,0.34434333940997663,0.6304807415655298,59514.4568067258,59139.75773328,59656.21444432,59139.75773328,60594790187.0,1104127448929.0
2021-03-31 20:00:00+00:00,3321,0.35034772321526403,0.629105928947572,0.2580562811202477,0.4946879559773365,58840.664734540595,59163.44787577,59243.11710182,58803.64591134,61875580985.0,1104579323630.0
2021-03-31 21:00:00+00:00,2690,0.3141021038799445,0.5904967953250516,0.22580895616834404,0.4632594838936007,59164.675919178,59096.13824216,59392.31937713,59052.80272081,63094276686.0,1103322655328.0
2021-03-31 22:00:00+00:00,2344,0.3383428973358458,0.6053196188537939,0.2424600897294473,0.4745406888545176,59140.3532822785,58894.51439207,59140.3532822785,58894.51439207,63969515226.0,1099562762797.0
2021-03-31 23:00:00+00:00,2112,0.3310690800894072,0.6100935014486889,0.2456318981308505,0.4737882627737728,58888.7181413522,58918.83271375,59064.40323267,58831.17909917,65520826225.0,1100016786763.0
2021-04-01 00:00:00+00:00,2320,0.3351170122445455,0.6135597133588666,0.2582537058833357,0.4943098631135696,59024.4960764579,59440.112542999996,59440.112542999996,59024.4960764579,66642437260.0,1109755817195.0
2021-04-01 01:00:00+00:00,2308,0.34902354950501663,0.6226198473820121,0.2705110946061376,0.501979294131612,59468.209505094404,59430.538905999994,59525.05423472,59274.178640610895,67849885305.0,1109577075956.0
2021-04-01 02:00:00+00:00,2103,0.3652494228560918,0.6301443947609671,0.2838758269476768,0.5144035875599731,59480.4809566615,59366.04390572,59480.4809566615,59339.20786451,68408437834.0,1108379237427.0
2021-04-01 03:00:00+00:00,2326,0.3668159656825937,0.6464751248484659,0.29956326704805025,0.5545436698166881,59351.0614173305,59276.85946817,59367.7159443361,59247.13101444,68036522609.0,1106714141147.0
2021-04-01 04:00:00+00:00,2243,0.3639214507933988,0.628130489911193,0.2974508840805959,0.5387843426393423,59329.619813939,59081.07545627,59446.2646604918,59026.78582446,68587008512.0,1103062112064.0
2021-04-01 05:00:00+00:00,2153,0.3548613237454131,0.6325006264106748,0.27808448281905634,0.5176672760240499,59115.2685841863,59015.34074225,59188.08333345,59015.34074225,69451805891.0,1101834824444.0
2021-04-01 06:00:00+00:00,2339,0.35154637120083976,0.6153842070109795,0.2548568440920003,0.4887756533216605,59009.01969492059,58983.22047948,59158.8359755365,58983.22047948,68790047296.0,1101239552858.0
2021-04-01 07:00:00+00:00,2511,0.3183686187949851,0.5841658565279381,0.2251875596354773,0.45655380303403004,58947.6715741959,59124.50185548,59125.30863707,58877.91996926,67833915894.0,1103877330824.0
