datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,highLowDif,volume,marketcap,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-03-14 17:00:00+00:00,59616.3495673331,59786.57877855,59974.7483038767,59599.08589449,375.662409386699,48064175379,1115245747274,1705,0.22259591928575,0.506023756254059,0.136911986391153,0.349782186960218
2021-03-14 18:00:00+00:00,59776.015793065,60170.69723789,60248.92615009,59776.015793065,472.910357025001,47828795715,1122415882719,1829,0.195124940298015,0.509692958149075,0.124717483043219,0.361933087475172
2021-03-14 19:00:00+00:00,60181.97447937,59921.58783168,60187.0804454715,59872.9035875851,314.176857886407,46770283898,1117769030233,1660,0.232742305958542,0.505297842449584,0.143039542203687,0.35002402628018
2021-03-14 20:00:00+00:00,59980.4147105122,60252.86241246,60252.86241246,59826.42892366,426.433488800001,45167314318,1123953882799,1715,0.230242653417198,0.489874155127126,0.133862007800696,0.328189393730069
2021-03-14 21:00:00+00:00,60408.0524249941,60039.75851737,60408.0524249941,59984.57225476,423.480170234099,43884410140,1119978653395,1693,0.224168591211113,0.51916719767002,0.137237862841992,0.3509271991432
2021-03-14 22:00:00+00:00,60123.8397380953,60236.72865094,60236.72865094,59866.72853213,370.00011881,43853707775,1123656659095,1606,0.208112385457222,0.489833343633196,0.126181418480563,0.329739251749366
2021-03-14 23:00:00+00:00,60246.3777619272,59302.31697742,60683.91387832,59302.31697742,1381.5969009,43901225564,1106226132525,1863,0.14896455551855,0.446408003196844,0.092699305446528,0.305782571849231
2021-03-15 00:00:00+00:00,59083.0220466185,59578.00640777,59838.8209646099,58972.26256663,866.558397979898,45170171230,1111373314817,2013,0.141784417845075,0.468425073421128,0.094933091521102,0.339592543214516
2021-03-15 01:00:00+00:00,59489.5062661361,60023.28631659,60181.53182269,59469.73697753,711.794845159995,45554372392,1119679604976,1696,0.178266895689877,0.487737561126982,0.10942794872038,0.330044633804506
2021-03-15 02:00:00+00:00,60103.5716063613,60133.08567909,60266.1197902073,60102.829864139,163.289926068304,44968739298,1121732321818,1262,0.214697042048233,0.506679481627106,0.131956653750575,0.343397389541294
2021-03-15 03:00:00+00:00,60129.2617517762,60360.10617689,60449.61450825,60129.2617517762,320.352756473803,44956446719,1125967198961,1176,0.188150665489035,0.48928983241225,0.10889541940975,0.31278802072016
2021-03-15 04:00:00+00:00,60425.925835847,59807.10204072,60540.99271158,59807.10204072,733.890670860004,45721142669,1115656214593,1143,0.210519212220834,0.490178365137863,0.128680541485369,0.336605859436103
2021-03-15 05:00:00+00:00,59809.1557189161,59150.91121025,59819.2294273925,59150.91121025,668.3182171425,45122566979,1103415471387,1357,0.179571324449275,0.501842744894258,0.104600296491703,0.331843515061328
