datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,highLowDif,volume,marketcap,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-03-21 06:00:00+00:00,57282.1031374098,57292.8364836,57494.59050863,57023.32657353,471.263935099996,55549769693,1069074990052,1319,0.285822462540901,0.48683409273057,0.18860602410156,0.359379673603683
2021-03-21 07:00:00+00:00,57274.80647956,57123.73536864,57418.5785446201,57112.0098271815,306.568717438597,55428043105,1065919590810,1646,0.270875407094933,0.48765826527071,0.167766413978327,0.335099712120922
2021-03-21 08:00:00+00:00,57143.8666224704,57221.80870466,57351.96637506,57143.86662247,208.099752590002,54950516351,1067753228248,1799,0.36461148141623,0.511050701790235,0.239973883177008,0.363297947871289
2021-03-21 09:00:00+00:00,57272.1770379515,56096.39081014,57346.95886895,56096.39081014,1250.56805881,55968231732,1046753042878,2020,0.286469700708076,0.499776998433103,0.189647383259455,0.358754651588414
2021-03-21 10:00:00+00:00,56087.3736707827,56324.30220261,56423.1771379057,56049.37686462,373.800273285706,57446474703,1051010070993,2052,0.282441693239102,0.496333607678407,0.175776065579961,0.33388295402442
2021-03-21 11:00:00+00:00,56207.8175010266,56391.64724637,56394.92314865,56066.9305482112,327.992600438796,57389834721,1052266727826,1896,0.26915400511156,0.481846818216422,0.172187558092804,0.331294514750615
2021-03-21 12:00:00+00:00,56363.0288556205,56311.0856205,56363.0288556205,56128.29494744,234.733908180497,56424869554,1050768348966,2063,0.265289886538465,0.491172238937669,0.172016240272165,0.349746627578118
2021-03-21 13:00:00+00:00,56309.3853461622,57199.7900017,57303.8146944743,56309.3853461622,994.4293483121,56936513741,1067351627819,2145,0.263738029414608,0.491243345614432,0.167979191148453,0.342109970238583
2021-03-21 14:00:00+00:00,57199.8905522776,57305.81934269,57366.99988096,57199.8905522776,167.109328682403,55354124784,1069336216312,2432,0.325374043375784,0.523980121374709,0.222768080057042,0.387958902816406
2021-03-21 15:00:00+00:00,57380.1790988888,57316.01841364,57592.12577011,57300.4489130957,291.676857014296,55307699719,1069526532690,2349,0.285369959895092,0.504506775751372,0.189228317235222,0.358047315032617
2021-03-21 16:00:00+00:00,57276.099256103,57416.62405664,57513.76015091,57124.8659367322,388.894214177795,54575835216,1071409248052,2218,0.264017011259915,0.512488691209694,0.175777904048378,0.367714034409078
2021-03-21 17:00:00+00:00,57395.6978149904,57358.02208403,57395.6978149904,57226.2864035,169.4114114904,54084887622,1070315719890,1932,0.241789038311056,0.49253238440858,0.147922037632456,0.335229635662049
2021-03-21 18:00:00+00:00,57449.2689159733,57528.59098351,57540.2337772019,57377.91353164,162.320245561903,54529283459,1073502549716,2030,0.240082484811778,0.496419420155074,0.157827243762775,0.358584192146277
2021-03-21 19:00:00+00:00,57554.7592966686,57661.52569392,57764.1618290649,57554.7592966686,209.4025323963,54960899827,1075983155413,1725,0.236013302410272,0.494230986665902,0.141962888667833,0.333203346900069
2021-03-21 20:00:00+00:00,57665.4878013845,57857.570478,58026.19662498,57665.43975242,360.756872559999,53650137780,1079646854587,2124,0.256746089565115,0.505729824367101,0.150263246060508,0.327408903636504
2021-03-21 21:00:00+00:00,57863.4736781622,58157.05676741,58180.42614768,57806.6287107819,373.797436898101,54046723405,1085235396029,2149,0.259270696907044,0.515233333651204,0.156264265572159,0.342941932271024
