date,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-03-19,61635,0.2561868378009125,0.4697614946814851,0.2561868378009125,0.4697614946814851
2021-03-20,47599,0.2862833523034692,0.48057778344145063,0.2862833523034692,0.48057778344145063
2021-03-21,42967,0.26993583837715196,0.4978273039650396,0.26993583837715196,0.4978273039650396
2021-03-22,53197,0.2304778766791427,0.48364013510976944,0.2304778766791427,0.48364013510976944
2021-03-23,50135,0.22646427984181883,0.4829150393861067,0.22646427984181883,0.4829150393861067
2021-03-24,80098,0.261350127173105,0.5333851328808821,0.261350127173105,0.5333851328808821
2021-03-25,80166,0.2514137272489461,0.5093236447629534,0.2514137272489461,0.5093236447629534
2021-03-26,57035,0.26775653525530174,0.527362752990255,0.26775653525530174,0.527362752990255
2021-03-27,54357,0.3086818765558818,0.555807597761935,0.3086818765558818,0.555807597761935
2021-03-28,43754,0.26337919647926444,0.5332182921861687,0.26337919647926444,0.5332182921861687
2021-03-29,58231,0.29969155515525975,0.504847290217025,0.29969155515525975,0.504847290217025
2021-03-30,64326,0.2633510488079304,0.47759442800916113,0.2633510488079304,0.47759442800916113
2021-03-31,77362,0.36783436209958476,0.6494827828136814,0.36783436209958476,0.6494827828136814
